label,text
spam,"Congratulations! You've been selected as a winner for a $1,000 Walmart Gift Card. Click here to claim your prize immediately!"
spam,"URGENT: Your PayPal account has been suspended due to suspicious activity. Verify your identity at http://secure-paypal-verify.com"
spam,"Increase your website traffic by 500% with our automated SEO & backlink service! Cheap monthly packages starting at $29."
spam,"Dear beneficiary, you have an unclaimed inheritance fund of $5,500,000. Send your bank details and passport copy to transfer funds."
spam,"Exclusive luxury watches up to 90% off! Buy genuine Rolex, Omega, and Cartier replicas today. Fast worldwide shipping."
spam,"Hot singles in your neighborhood are waiting to chat with you right now. Click here to see photos."
spam,"Guaranteed 200% ROI in 7 days with AI crypto trading bot! Deposit Bitcoin now to start earning passive income."
spam,"FINAL NOTICE: Your auto warranty is about to expire! Call 1-800-555-0199 now to extend your coverage and avoid huge repair bills."
spam,"Work from home making $500 a day typing emails! No experience needed, instant payout every Friday. Sign up today."
spam,"Your Netflix account is on hold. Please update your payment method within 24 hours to keep your membership active."
spam,"Doctor discovers 1 weird trick to lose 20 lbs in 2 weeks without diet or exercise. Watch the secret video now!"
spam,"You have received 1 new secure encrypted voice message. Click the attachment to listen to your voice memo."
spam,"Low interest mortgage refinance available now. Lower your monthly payment by up to $400/month. Pre-qualify in 60 seconds."
spam,"ALERT: Wells Fargo Bank detected unauthorized login from Russia. Click here to secure your account immediately."
spam,"Special promotional discount! 70% off on all men's health pills. Free discrete shipping on orders over $50."
spam,"Invoice #98234 attached. Please review the attached zip file and send payment via wire transfer."
spam,"Dear Sir/Madam, we supply high quality LED lights directly from factory in Shenzhen. Inquire today for catalog."
spam,"You are eligible for government grant money of up to $10,000 that you never have to repay! Apply before midnight."
spam,"Free trial of cloud CRM software - get 10,000 free marketing email credits when you register today."
spam,"URGENT: Your Amazon package could not be delivered due to missing house number. Update your address at bit.ly/amz-pkg-fix"
spam,"Get rich quick with binary options and Forex signals! Join our Telegram VIP channel for 95% winning trades."
spam,"Your Apple ID was locked for security reasons. Click here to confirm your credentials and unlock your Apple account."
spam,"Limited time flash sale! Buy 1 get 2 free on all sunglasses. Use coupon code FLASH99 at checkout."
spam,"Hello, I am a foreign diplomat seeking a trustworthy partner to assist in moving assets. You will receive 30% commission."
spam,"Notice of IRS tax penalty. You owe $3,450 in back taxes. Call immediately to avoid legal arrest warrant."
spam,"Boost your credit score by 150 points in 30 days legally! Click here to learn how."
spam,"Download the latest cracked version of Adobe Photoshop 2026 for free! Direct high-speed download link."
spam,"Clearance warehouse liquidation: 85% discount on 4K Smart TVs, laptops, and gaming consoles while supplies last."
spam,"Verify your Microsoft 365 password to prevent mailbox deactivation within 12 hours."
spam,"Cheap business loans with no credit check required! Funds deposited in your account within 24 hours."
spam,"Congratulations user! Your email address won the 2026 International Lottery. Claim 1 Million Euros now."
spam,"Upgrade your male performance with natural herbal supplements. Buy 2 bottles get 1 free with discreet packaging."
spam,"Urgent security alert: Someone attempted to access your Coinbase account from unknown IP. Confirm your 2FA key."
spam,"Order confirmation: Thank you for ordering iPhone 16 Pro Max for $1,299. If you did not make this purchase, call support."
spam,"Secret weight loss gummy bears that celebrities are raving about! Claim your free sample bottle today."
spam,"You have 4 unread messages waiting from dating matches in your city. Login now to reply."
spam,"Earn $8,000 per month stuffing envelopes at home. Minimal effort required. Request your starter kit."
spam,"Warning: Your cloud storage is 99% full. Upgrade your storage plan now to avoid losing your files and photos."
spam,"Custom t-shirt printing at unbeatable wholesale prices. Fast delivery and free artwork proofing."
spam,"Attention: Your domain name is expiring in 3 days. Renew now to avoid losing your web address and search rankings."
ham,"Hi team, please find attached the agenda for tomorrow's weekly sprint planning meeting at 10:00 AM EST."
ham,"Hi Sarah, I reviewed the pull request for the authentication module. Left a couple of minor comments on GitHub."
ham,"Good morning Alex, could you please send me the latest Q3 financial report when you have a moment?"
ham,"Hi everyone, I will be taking PTO next week from Monday, Oct 12 to Wednesday, Oct 14. For urgent issues reach out to Dave."
ham,"Thank you for your order! Your package has shipped via FedEx and is scheduled for delivery on Thursday. Tracking number: 789456123."
ham,"Hi Mark, thanks for meeting with us today. Attached is the proposal we discussed regarding the software architecture overhaul."
ham,"Hey, are we still on for lunch at the cafeteria around 12:30 PM today?"
ham,"Hi Professor Davis, I had a question regarding problem #4 on the homework assignment. Could I stop by your office hours tomorrow?"
ham,"Your monthly statement for account ending in 4589 is now available to view in your online banking portal."
